Statistic Measure,Naive_Bayes,Random Forest,SVM,KNN,My Method
Accuracy,0.9426058065468237,0.9648615105211586,0.9701610447902083,0.9554050981784243,0.96844902154
Precision,0.9469779620056149,0.9625203826967581,0.9677049900825822,0.951720677721686,0.966061040164
Recall,0.922426160546307,0.9620998649503623,0.9686099642253682,0.952651194360737,0.966550872583 
F-Measure,0.9304469155218349,0.9622252422169557,0.9680943676762178,0.9520743679179132,0.966257767569
